SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
38,3-4,53.03,52.92,53.3,0.37,11.3,11.17,11.44,0.26,55.84,55.57,55.94,0.36,11.89,11.83,11.99,0.16,2.87,2.65,3.03,0.37,0,0,0,0
39,1-2,44.45,44.26,44.55,0.28,16,15.87,16.1,0.23,46.96,46.79,47.09,0.3,16.94,16.87,17.02,0.14,2.68,2.49,2.76,0.26,4.45,4.28,4.55,0.27
39,3-4,51.31,51.08,51.54,0.46,17.92,17.78,18.01,0.23,53.97,53.78,54.04,0.25,18.93,18.87,19.07,0.19,2.84,2.74,2.95,0.2,0,0,0,0
40,1-2,42.05,41.94,42.13,0.19,21.7,21.61,21.78,0.17,44.43,44.23,44.73,0.5,22.89,22.63,23.09,0.46,2.66,2.45,2.94,0.48,4.49,4.22,4.7,0.48
40,3-4,48.68,48.42,49.04,0.61,24.33,24.12,24.61,0.48,51.22,51.03,51.33,0.29,25.79,25.64,25.89,0.25,2.93,2.79,3.15,0.35,0,0,0,0
41,1-2,39.18,39.04,39.29,0.25,26.85,26.78,26.96,0.17,41.32,41.19,41.49,0.3,28.36,28.31,28.42,0.11,2.61,2.49,2.73,0.23,4.45,4.19,4.59,0.39
41,3-4,45.19,44.84,45.41,0.56,30.56,30.48,30.72,0.23,47.56,47.35,47.67,0.32,32.16,32.11,32.25,0.14,2.86,2.69,3.02,0.33,0,0,0,0
42,1-2,35.4,35.22,35.53,0.3,31.81,31.72,31.91,0.19,37.47,37.39,37.63,0.24,33.49,33.29,33.76,0.46,2.66,2.49,2.89,0.39,4.59,4.22,4.9,0.68
42,3-4,41.27,40.94,41.6,0.66,36.08,35.95,36.18,0.22,43.2,42.99,43.32,0.32,38.2,38.15,38.34,0.19,2.87,2.75,2.99,0.24,0,0,0,0
43,1-2,31.31,31.06,31.53,0.47,35.99,35.93,36.1,0.17,33,32.88,33.39,0.5,38.15,38.06,38.47,0.41,2.74,2.59,3.02,0.43,4.37,4.15,4.63,0.47
